start_date,end_date,time,event_name,event_description,location,
4/18/12,4/19/12,all day,Insurance information,Insurance contract,Main conference room,
6/11/12,6/11/12,9am to 10am,Department Status,Update on current projects,War room,
6/14/12,6/14/12,11am to 1pm,Brown bag session,Information on our new sales tool,Main conference room,
6/20/12,6/20/12,10am to 11am,BD Review,Current Pipeline review session. Everyone should make sure to have all their opportunities in order before the meeting. We will be showing real time metrics.,Small conference room,
6/29/12,6/29/12,4pm to 7pm,Summer Happy Hour,Summer Celebration,O'Connor's,
7/3/12,7/3/12,9am to 11am,Board Meeting,Quarterly board meeting,Main conference room,
8/19/12,8/19/12,3pm to 4pm,Training section,Training newcommers,DC office room 1539,
10/1/12,10/1/12,3pm to 4pm,Monthly Meeting,Monthly wrap-up meeting,DC office room 1538,
10/17/12,10/17/12,5pm to 4pm,Happy Hour,Happy hour,Small conference room,
2/17/13,2/17/13,6pm to 4pm,Customer call Conference,Calling conference with customer,Main conference room,
